"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_17_8","141","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","0","402"
"GameData_17_9","141","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","0","390"
"GameData_17_6","141","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","2","143"
"GameData_17_7","141","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","2","221"
"GameData_17_0","16","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","1","251"
"GameData_5_0","82","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","17","2000"
"GameData_17_1","93","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","11","2000"
"GameData_5_3","186","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","10","2000"
"GameData_17_4","141","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","2","527"
"GameData_5_4","212","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","8","2000"
"GameData_17_5","141","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","2","390"
"GameData_5_1","99","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","1","443"
"GameData_17_2","113","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","13","2000"
"GameData_5_2","162","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","9","2000"
"GameData_17_3","141","controllers.singlePlayer.sampleOLMCTS.Agent","288750","0","14","2000"
"GameData_5_7","246","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","5","2000"
"GameData_5_8","246","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","1","419"
"GameData_5_5","224","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","10","2000"
"GameData_5_6","245","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","12","2000"
"GameData_5_9","249","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","0","1243"
"GameData_8_15","225","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","15","806"
"GameData_8_16","229","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","36","684"
"GameData_8_13","216","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","31","1024"
"GameData_8_14","219","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","9","520"
"GameData_15_19","264","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","5","1200"
"GameData_8_11","196","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","1","403"
"GameData_8_12","200","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","27","627"
"GameData_8_10","194","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","27","1733"
"GameData_8_1","60","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","31","598"
"GameData_8_0","48","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","36","782"
"GameData_8_5","138","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","1","449"
"GameData_8_4","127","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","36","577"
"GameData_8_3","107","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","36","627"
"GameData_8_2","101","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","35","817"
"GameData_8_19","141","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","17","630"
"GameData_8_9","182","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","37","694"
"GameData_8_8","180","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","45","537"
"GameData_8_7","180","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","21","606"
"GameData_8_17","231","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","35","667"
"GameData_8_6","164","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","37","1016"
"GameData_8_18","231","controllers.singlePlayer.sampleOLMCTS.Agent","330000","0","30","677"
"GameData_9_16","189","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","2039","1000"
"GameData_9_17","189","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","53","1000"
"GameData_9_14","189","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","2044","1000"
"GameData_9_15","189","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","1042","1000"
"GameData_9_12","189","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","1060","1000"
"GameData_9_13","189","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","1042","1000"
"GameData_9_10","189","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","52","1000"
"GameData_9_11","189","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","1067","1000"
"GameData_19_6","116","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","8","1000"
"GameData_19_7","116","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","-1","714"
"GameData_19_4","115","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","8","1000"
"GameData_19_5","115","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","-1","767"
"GameData_19_8","116","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","-2","866"
"GameData_19_9","116","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","3","1000"
"GameData_9_18","189","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","41","1000"
"GameData_9_19","278","controllers.singlePlayer.sampleOLMCTS.Agent","272916","0","6","442"
"GameData_16_10","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
"GameData_16_11","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
"GameData_7_2","57","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-15","1000"
"GameData_19_2","108","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","-1","356"
"GameData_7_1","54","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-20","1000"
"GameData_19_3","113","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","4","1000"
"GameData_7_0","45","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-20","1000"
"GameData_19_0","102","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","8","1000"
"GameData_19_1","105","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","7","1000"
"GameData_7_6","76","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-20","1000"
"GameData_16_16","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
"GameData_7_5","75","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-20","1000"
"GameData_16_17","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
"GameData_7_4","70","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-20","1000"
"GameData_16_18","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
"GameData_7_3","70","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-10","1000"
"GameData_16_19","222","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
"GameData_16_12","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
"GameData_7_9","92","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-20","1000"
"GameData_16_13","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
"GameData_7_8","91","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-20","1000"
"GameData_16_14","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
"GameData_7_7","76","controllers.singlePlayer.sampleOLMCTS.Agent","295191","0","-20","1000"
"GameData_16_15","25","controllers.singlePlayer.sampleOLMCTS.Agent","122500","0","0","2000"
